,sentence0,sentence1
767,a boy is playing a guitar,a kid is playing a guitar
768,The man is slicing a potato,a man is slicing potato
769,a man is peeling a potato,a man is slicing a potato
770,a woman is stabbing a potato with a fork,a woman is puncturing a potato with a fork
771,a child is waking up,a girl is waking up
772,a boy is playing a key-board,a little boy is playing a keyboard
773,a woman is cutting an onion,a woman is cutting through an onion
774,a toy train is striking a toy car,a toy train strikes a toy car
775,a man is playing the guitar,a man is playing the flute
776,a cat opens a drawer and climbs inside,a cat is opening a drawer and climbing inside
777,a woman is frying a food,a woman is deep frying food
778,a woman plays the flute,a woman is playing the flute
779,a man is dicing an onion,a woman is cutting an onion
780,a girl is playing a guitar,a man is playing a guitar
781,a girl is singing on stage,a man is singing on stage
782,a woman is riding a horse,a woman is riding a donkey
783,a girl is playing a guitar,a man is playing a guitar
784,a woman is brushing some shrimp,a woman brushes some shrimp
785,a man is dancing on the ceiling,a man is dancing on the ceiling of a room
786,a woman is playing an electric guitar,a man is playing an acoustic guitar
787,a woman thinly slices an onion with a large knife,a woman is slicing onions with a large knife
788,a man is playing a keyboard,a man plays a keyboard
789,a man plays the guitar,a man is playing the guitar
790,a woman is peeling a potato,a woman peels a potato
791,a woman is handling a frog,a man is holding a frog
792,a person is peeling shrimp,a man is peeling shrimp
793,a man is playing a flute,a man is playing a guitar
794,a man is playing a flute,a man is playing a guitar
795,a man is playing a guitar,a man is playing a flute
796,a man is playing a piano,a man is playing a guitar
797,a man is playing a guitar,a man is playing a piano
798,a man is playing a flute,a man is playing a guitar
799,a man is playing a flute,a man is playing a guitar
800,Two women are on a couch,Two women are hugging on a couch
801,Someone is slicing a cucumber,a man is slicing a cucumber
802,a kitten is playing with a blue rope toys,a kitten is playing with a toys
803,a group of people are sweeping water out of a house.,People are sweeping water out of a house
804,The dog is barking at the toys,a dog is barking at a toys
805,a person folds a tortilla,a man folds a tortilla
806,a cat is drinking milk,a kitten is drinking milk
807,a person is driving a car,a man is driving a car
808,a turtle is walking,a tortoise is walking
809,a cow is eating grass,a cow is eating hay
810,a woman is chopping broccoli,a woman is chopping garlic
811,a man is crying,a man is screaming
812,a woman is putting on sun glasses,a woman puts on sunglasses
813,The man is playing the guitar,a man is playing guitar
814,a man is cutting an onion,a man is cutting a plantain
815,a man is slicing a potato,a woman is peeling a potato
